,,Cuesta,,,,,,,,,,,DEFENSIVE SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game #
0 - Mia Rivera,7,16,-4,12,0.43,-0.57,2,,,,4,4,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
2 - Victoria Om,6,6,-6,0,0.00,-1.00,1,,,,3,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
11 - Anaya Beard,5,10,-3,7,0.35,-0.19,1,,,,3,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
12 - Aisleigh Canaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 - Faith Ledesma,5,8,-7,1,0.05,-0.67,1,,,,3,1,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,
21 - Beverly Tandarich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 - Jayleen Rivera,2,4,,4,0.20,-0.38,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 - Sophia Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 - Claudia Solis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - Chloe Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 - Kiki Graham,7,10,,10,0.36,-0.64,1,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 - Kimberly Limon,3,7,-2,5,0.17,-0.20,,,,,3,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Total,35,61,-22,39,1.00,0.00,6,,,,23,9,5,2,,,,,6,1,,1,1,1,1,,,,,,,,,,,,,,,,,
32,,GAME SUMMARY,,,,,EXECUTION,,,,,,,,,,,BREAKDOWNS,,,,,,,,,NOTES,,,,,,,,,,,,,,,
Player,Possessions,Positive Total,Negative Total,Net Performance,PPP,PPP +/- vs. Avg,Tip,Steal,Block,Rebound,Rotation Help,Post Shift,Contested Shot,Jump Ball,Good Foul,Charge,Audible,Middle Drive,Missed Rotation,No Front (High),No Front (Low),Missed REB Duty,No Shot Contest,Scored On,Bad Foul,Failed Audible,Synergy Clip #,,Coach Notes,,,,,,Flo Response,,,,,,,
0 - Mia Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - Victoria Om,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 - Anaya Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 - Aisleigh Canaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 - Faith Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 - Beverly Tandarich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 - Jayleen Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 - Sophia Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 - Claudia Solis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - Chloe Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 - Kiki Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 - Kimberly Limon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,GAME SUMMARY,,,,,EXECUTION,,,,,,,,,,,BREAKDOWNS,,,,,,,,,NOTES,,,,,,,,,,,,,,,
Player,Possessions,Positive Total,Negative Total,Net Performance,PPP,PPP +/- vs. Season Avg,Tip,Steal,Block,Rebound,Rotation Help,No Ball In Paint,Contested Shot,Jump Ball,Good Foul,Charge,Audible,Middle Drive,Missed Rotation,No Front (High),No Front (Low),Missed REB Duty,No Shot Contest,Scored On,Bad Foul,Failed Audible,Synergy Clip #,,Coach Notes,,,,,,Flo Response,,,,,,,
0 - Mia Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 - Victoria Om,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 - Anaya Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 - Aisleigh Canaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 - Faith Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 - Beverly Tandarich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 - Jayleen Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 - Sophia Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 - Claudia Solis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - Chloe Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 - Kiki Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 - Kimberly Limon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
