"viewport","heroWidth","heroHeight","topToEyebrow","eyebrowToTitle","titleToBody","bodyToFirstPill","leftTextToWall","imageToRightWall","imageBottom","pillsBottom","imagePillsBottomDelta","columnGap","copyColumnWidth","bodyRule","bodyRenderedWidth","bodyLineCount","widestBodyLine","bodyToImage","pillsToImage","titleFont","eyebrowFont","bodyFont","imageFrame","overlaySize","overlayBottomInset","overlayPadding","overlayLabelFont","overlayLinkFont","overlayLinksOneLine","overlayOverflow"
"1280x800","1192","423.2","29.2","10","24","57","37","37","24","24","0","33.28px","694.7","width 694.734px; max-width 100%","694.7","3","641.8","33.3","33.3","59.2px","12.096px","16.704px","390.0x370.0","366.3x57.0","12.5","10px 12px 10px 12px","11.8px","13.2px","Yes","No"
"1440x900","1352","429.6","32.7","10.8","24","44.6","37","37","26.9","26.9","0","37.44px","850.6","width 850.562px; max-width 100%","850.6","3","848","37.4","37.4","59.2px","12.288px","17.152px","390.0x370.0","363.5x59.0","14","10.8px 12px 10.8px 12px","12px","13.4px","Yes","No"
"1920x1080","1680","446.7","37","14.4","24","20","47.1","47.1","31","31","0","38.4px","980","width 980px; max-width 100%","980","3","973.1","125.8","38.4","60.48px","12.864px","18px","480.0x378.7","454.0x65.9","18.3","11.904px 11.904px 11.904px 11.904px","13.2px","14.75px","Yes","No"
"2560x1440","2240","580","37","16","24","160.2","59","59","31","31","0","0px","1354","width 1354px; max-width 100%","1354","2","1306.6","51.2","51.2","79.36px","13.632px","18px","716.8x512.0","690.8x80.8","18","15px 18px 15px 18px","17px","19px","Yes","No"
