"viewport","layoutRule","heroWidth","heroHeight","heroColumnGap","heroTopPaddingMeasured","leftWallToCopy","rightWallToImage","eyebrowFont","eyebrowLineHeight","eyebrowToTitle","titleFont","titleLineHeight","titleToBody","bodyFont","bodyLineHeight","copyColumnWidth","bodyWidthRule","bodyRenderedWidth","bodyLineCount","bodyLineWidths","bodyToImage","bodyBottomToFirstPill","statBandAlignSelf","statTransform","pillsToImage","pillsBottomToHeroBottom","imageBottomToHeroBottom","imagePillsBottomDelta","imageFrame","overlaySize","overlayBottomInset","overlayPadding","overlayLabelFont","overlayLinkFont","overlayLinksOneLine","overlayOverflow"
"1280x800","Right image bottom fixed to hero bottom inset; stat pills bottom aligned to right image bottom; body uses available left-column width; title/body gap locked at 24px","1192","423.2","33.28px","29.2","37","37","12.096px","13.9104px","10","59.2px","56.24px","24","16.704px","25.3901px","694.7","width 694.734px; max-width 100%","694.7","3","632.5 / 641.8 / 626.4","33.3","57","end","none","33.3","24","24","0","390.0x370.0","366.3x57.0","12.5","10px 12px 10px 12px","11.8px","13.2px","Yes","No"
"1440x900","Right image bottom fixed to hero bottom inset; stat pills bottom aligned to right image bottom; body uses available left-column width; title/body gap locked at 24px","1352","429.6","37.44px","32.7","37","37","12.288px","14.1312px","10.8","59.2px","56.24px","24","17.152px","26.071px","850.6","width 850.562px; max-width 100%","850.6","3","848 / 827.7 / 276.1","37.4","44.6","end","none","37.4","26.9","26.9","0","390.0x370.0","363.5x59.0","14","10.8px 12px 10.8px 12px","12px","13.4px","Yes","No"
"1600x900","Right image bottom fixed to hero bottom inset; stat pills bottom aligned to right image bottom; body uses available left-column width; title/body gap locked at 24px","1512","429.6","37.44px","32.7","37","37","12.48px","14.352px","12","59.2px","56.24px","24","17.6px","26.752px","980","width 980px; max-width 100%","980","3","951.5 / 919.8 / 131.8","58","31.7","end","none","37.5","26.9","26.9","0","400.0x370.0","370.8x61.7","15.4","12px 12.8px 12px 12.8px","12px","13.4px","Yes","No"
"1920x1080","Right image bottom fixed to hero bottom inset; stat pills bottom aligned to right image bottom; body uses available left-column width; title/body gap locked at 24px","1680","446.7","38.4px","37","47.1","47.1","12.864px","14.7936px","14.4","60.48px","57.456px","24","18px","27.36px","980","width 980px; max-width 100%","980","3","973.1 / 940.7 / 134.8","125.8","20","end","none","38.4","31","31","0","480.0x378.7","454.0x65.9","18.3","11.904px 11.904px 11.904px 11.904px","13.2px","14.75px","Yes","No"
"2560x1440","Right image bottom fixed to hero bottom inset; stat pills bottom aligned to right image bottom; body uses available left-column width; title/body gap locked at 24px","2240","580","0px","37","59","59","13.632px","15.6768px","16","79.36px","75.392px","24","18px","27.36px","1354","width 1354px; max-width 100%","1354","2","1306.6 / 747.4","51.2","160.2","end","none","51.2","31","31","0","716.8x512.0","690.8x80.8","18","15px 18px 15px 18px","17px","19px","Yes","No"
