"viewport","columns","ratio","gap","docWidth","contactWidth","buttonFont","allPillsNoWrap","sectionOverflow","fullPortfolioHeight","fullPortfolioWrap"
"1025","363.594px 545.406px","1.5","28px","363.59","545.41","15px","true","false","44.83","false"
"1280","465.594px 698.406px","1.5","28px","465.59","698.41","15px","true","false","50.23","false"
"1440","529.594px 794.391px","1.5","28px","529.59","794.39","15px","true","false","50.23","false"
"1600","593.594px 890.391px","1.5","28px","593.59","890.39","15px","true","false","50.23","false"
"1920","660.797px 991.188px","1.5","28px","660.8","991.19","15px","true","false","50.23","false"
"2560","884.797px 1327.2px","1.5","28px","884.8","1327.2","15px","true","false","50.23","false"
