PLAYERS,,,,,,,,Game Info,,,,,,,,,,,DEFENSES,,,,,ACTIONS MASTER,,,,,,,,,,,,,,,,,,,,,,,OVERALL ACTION CATEGORIES,,,,,,,,,,,GAME TAB LOCATIONS,,,,,,,,,,DEFENSIVE GAME TOTALS,,,,,DEFENSIVE PLAYER GAME TOTALS,,,,,,,,,,,,ACTION GAME TOTALS,,,,,,,,,,,ACTION CATEGORY TOTALS,,,,,,,,,,,,ACTION CATEGORY VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring Ranges,,,,,SEASON TOTAL STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,PER GAME STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,,PLAYER DEFENSIVE ACTION PER-GAME AVERAGES,,,,,,,,,,,,,,,,,,,,,,,,ACTION CATEGORY PER GAME STATS,,,,,,,,,,,,PLAYER ACTION PER GAME STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey #,Player Name,# Player Name,Position,Role,,,,Game #,Date,Time,Opponent,Location,Tab Name,SAC Score,OPP Score,,,,Name,Type,,,,Action,Category,Score,Man,50,32,21,,,,,,,Man,50,32,21,,,,,,,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Defense,Section Type,Label / Category / Action,Header Range,Data Range,Column(s),Notes,,,,Defense,Total Games,,,,Player,Overall,Man,50,32,21,,,,,,,Action,Man,50,32,21,,,,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,Positive Total,Negative Total,Net Performance,Positive %,Negative %,Net Efficiency %,Pos/Neg Ratio,Sum Of Absolute Values,,,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Per-Game Average,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Defensive Breakdown % of Net,Team Value Totals,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Team Value Totals,Defensive Breakdown % of Net,Sum Of Absolute Values,,,Per-Game Averages ,,,,PPM Range,Label,Impact,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Per-Game Averages,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Player,Block,Charge,Contested Shot,Audible,Good Foul,Jump Ball,No Ball In Paint,Post Shift,Rebound,Rotation Help,Steal,PNR Trap,Successful Trap,Tip,Top Rotation,Bad Foul,Failed Audible,Middle Drive,Missed PNR Trap,Missed REB Duty,Missed Rotation,Missed Trap,No Shot Contest,No Front (High),No Front (Low),Same Side Help,Scored On
30,Kiki Graham,30 - Kiki Graham,G,⭐,,,,7,11/21/25,7:00 PM,LA Trade-Tech,Away,7 - LA Trade-Tech (11/21/25),,,,,,,,,,,Steal,Stops,3,MAN,50,32,21,,,,,,,Tip,Tip,Tip,Tip,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Rebounding,N5:P5,N6:P18,N–P,Merged block—includes header & player data,,,,,,,,,30 - Kiki Graham,21,20,8,,12,,,,,,,Steal,20,8,0,13,,,,,,,30 - Kiki Graham,239,557,42,85,69,62,18,19,,,,30 - Kiki Graham,385,612,84,197,-170,-128,-36,-19,1278,-353,925,78.4%,21.6%,56.7%,3.62,1631,,,,,,Tip,21,6,5,5,6,6,,8,2,2,,14,1,,,,,,,55,6.2,,Tip,21,6,5,5,6,6,,8,2,2,,14,1,,,,,,,55,,,,Steal,52,37,32,11,20,,21,,8,1,46,10,,,,,,,238,6.3%,714,,,Steal,156,111,96,33,60,,63,,24,3,138,30,,,,,,,714,6.3%,,,,,,,,,,,,,,30 - Kiki Graham,21,731,1250,-353,897,1.00,,,,30 - Kiki Graham,20,956,786,-234,552,0.58,,,,30 - Kiki Graham,8,121,210,-57,153,1.00,,,,30 - Kiki Graham,,,,,,,,,,30 - Kiki Graham,12,162,254,-62,192,1.00,,,,30 - Kiki Graham,21,34.8,59.5,-16.8,42.7,0.12,,,,30 - Kiki Graham,20,47.8,39.3,-11.7,27.6,0.06,,,,30 - Kiki Graham,8,15.1,26.3,-7.1,19.1,0.13,,,,30 - Kiki Graham,,,,,,,,,,30 - Kiki Graham,12,162.0,253.5,-62.0,191.5,1.00,,,,Tip,21,0.5,0.4,0.5,1.2,0.5,,0.9,0.4,0.5,,1.2,0.2,,,,,,,6.2,,,,30 - Kiki Graham,11.4,26.5,2.0,4.0,3.3,3.0,0.9,0.9,,,,Steal,2.7,1.8,1.5,0.6,1.0,,1.0,,0.7,0.1,2.2,0.5,,,,,,,12.1,,,,30 - Kiki Graham,20,,134,,19,12,57,,42,445,46,24,31,93,,19,,6,4,18,42,4,31,,,14,32
40,Kimberly Limon,40 - Kimberly Limon,P,🪑,,,,8,11/25/25,6:00 PM,Long Beach,Home,8 - Long Beach (11/25/25),,,,,,,,,,,PNR Trap,Team Defense,2,MAN,,,,,,,,,,Bad Foul,Bad Foul,Bad Foul,Bad Foul,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Stops,Q5:R5,Q6:R18,Q–R,Merged block—includes header & player data,,,,,,,,,40 - Kimberly Limon,20,19,4,,6,,,,,,,PNR Trap,20,,,,,,,,,,40 - Kimberly Limon,66,205,30,16,47,51,21,11,,,,40 - Kimberly Limon,114,236,60,37,-110,-96,-42,-11,447,-259,188,63.3%,36.7%,26.6%,1.73,706,,,,,,Bad Foul,21,,1,6,6,2,,,1,,,1,2,,,,,,,19,2.6,,Bad Foul,21,,-1,-6,-6,-2,,,-1,,,-1,-2,,,,,,,-19,,,,PNR Trap,22,34,57,15,12,,5,2,2,3,24,26,,,,,,,202,3.5%,404,,,PNR Trap,44,68,114,30,24,,10,4,4,6,48,52,,,,,,,404,3.5%,,,,,,,,,,,,,,40 - Kimberly Limon,20,244,437,-259,178,0.73,,,,40 - Kimberly Limon,19,320,321,-203,118,0.37,,,,40 - Kimberly Limon,4,30,46,-24,22,0.37,,,,40 - Kimberly Limon,,,,,,,,,,40 - Kimberly Limon,6,48,70,-32,38,0.59,,,,40 - Kimberly Limon,20,12.2,21.9,-13.0,8.9,0.07,,,,40 - Kimberly Limon,19,16.8,16.9,-10.7,6.2,0.00,,,,40 - Kimberly Limon,4,7.5,11.5,-6.0,5.5,0.07,,,,40 - Kimberly Limon,,,,,,,,,,40 - Kimberly Limon,6,48.0,70.0,-32.0,38.0,0.59,,,,Bad Foul,21,,0.1,0.5,1.2,0.2,,,0.2,,,0.1,0.3,,,,,,,2.6,,,,40 - Kimberly Limon,3.3,10.3,1.5,0.8,2.4,2.6,1.1,0.6,,,,PNR Trap,1.2,1.6,2.7,0.9,0.6,,0.2,0.2,0.2,0.3,1.1,1.3,,,,,,,10.3,,,,40 - Kimberly Limon,1,,48,4,5,,20,,30,150,10,26,5,18,,11,1,3,9,21,35,,28,,6,,16
,,,,,,,,9,12/04/25,6:00 PM,SD Mesa,Home,9 - SD Mesa (12/04/25),,,,,,,,,,,Successful Trap,Team Defense,2,,50,,,,,,,,,Failed Audible,Failed Audible,Failed Audible,Failed Audible,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Coverage Errors,S5:T5,S6:T18,S–T,Merged block—includes header & player data,,,,,,,,,,,,,,,,,,,,,Successful Trap,,8,,,,,,,,,TOTAL,1192,2970,396,396,833,949,195,183,,,,TOTAL,1908,3345,792,954,-1987,-1836,-390,-183,6999,-4396,2603,61.4%,38.6%,22.8%,1.59,11395,,,,,,Failed Audible,21,,,,,,,,,,,,,,,,,,,,,,Failed Audible,21,,,,,,,,,,,,,,,,,,,,,,,Successful Trap,36,43,12,4,22,,16,,4,,31,5,,,,,,,173,3.%,346,,,Successful Trap,72,86,24,8,44,,32,,8,,62,10,,,,,,,346,3.%,,,,,,,,,,,,,,TOTAL,21,4250,6825,-4396,2429,0.57,,,,TOTAL,20,5655,4456,-3322,1134,0.20,,,,TOTAL,8,635,1034,-389,645,1.00,,,,TOTAL,0,,,,,,,,,TOTAL,13,995,1335,-685,650,0.65,,,,Per-Game Average,21,221.5,353.3,-233.1,120.2,0.54,,,,Per-Game Average,20,314.3,247.0,-190.4,56.6,0.18,,,,Per-Game Average,8,93.4,155.6,-58.9,96.7,0.78,,,,Per-Game Average,0,,,,,,,,,Per-Game Average,13,119.0,159.6,-81.9,77.7,0.49,,,,Failed Audible,21,,,,,,,,,,,,,,,,,,,,,,,Per-Game Average,62.8,152.4,20.7,20.6,43.4,51.7,10.0,9.7,,,,Successful Trap,1.9,2.0,0.6,0.2,1.0,,0.8,,0.3,,1.5,0.3,,,,,,,8.6,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,12/05/25,6:00 PM,LA Harbor,Home,10 - LA Harbor (12/05/25),,,,,,,,,,,Tip,Hustle Plays,1,MAN,50,32,21,,,,,,,Middle Drive,Middle Drive,Middle Drive,Middle Drive,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Team Errors,U5:V5,U6:V18,U–V,Merged block—includes header & player data,,,,,,,,,,,,,,,,,,,,,Tip,20,8,0,13,,,,,,,,,,,,,,,,,,,Category Grouping %,16.7%,29.4%,7.0%,8.4%,17.4%,16.1%,3.4%,1.6%,,,,,,,,,,,,,,Middle Drive,21,7,4,1,,2,,6,,1,,2,,,,,,,,23,2.3,,Middle Drive,21,-14,-8,-2,,-4,,-12,,-2,,-4,,,,,,,,-46,,,,Tip,81,67,50,31,56,,42,6,29,3,93,18,,,,,,,476,4.2%,476,,,Tip,81,67,50,31,56,,42,6,29,3,93,18,,,,,,,476,4.2%,,,,,,,,,,,,,,Per-Game Average,,258.9,415.7,-267.8,147.9,,,,,Per-Game Average,,368.8,290.6,-216.7,73.9,,,,,Per-Game Average,,111.4,181.4,-68.2,113.2,,,,,Per-Game Average,,,,,,,,,,Per-Game Average,,119.0,159.6,-81.9,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,21,0.6,0.3,0.1,,0.2,,0.7,,0.3,,0.2,,,,,,,,2.3,,,,,,,,,,,,,,,,Tip,4.3,3.2,2.4,1.8,2.7,,2.0,0.5,2.4,0.3,4.4,0.9,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,12/06/25,4:00 PM,Bakersfield,Home,11 - Bakersfield (12/06/25),,,,,,,,,,,Top Rotation,Team Defense,2,,,,,,,,,,,Missed PNR Trap,Missed REB Duty,Missed REB Duty,Missed REB Duty,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Rebounding Errors,W5:Y5,W6:Y18,W–Y,Merged block—includes header & player data,,,,,,,,,,,,,,,,,,,,,Top Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,21,1,5,6,6,6,,4,1,,,1,4,,,,,,,34,4.1,,Missed REB Duty,21,-2,-10,-12,-12,-12,,-8,-2,,,-2,-8,,,,,,,-68,,,,Top Rotation,,,,,,,,,,,,,,,,,,,,,,,,Top Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,21,0.1,0.4,0.5,1.2,0.5,,0.4,0.2,,,0.1,0.7,,,,,,,4.1,,,,,,,,,,,,,,,,Top Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,12/15/25,7:00 PM,El Camino,Away,12 - El Camino (12/15/25),,,,,,,,,,,Bad Foul,Foul Issues,-1,MAN,50,32,21,,,,,,,Missed REB Duty,Missed Rotation,Missed Rotation,Missed Rotation,,,,,,,,,,,,,,,,,,OVERALL,Subheader,Foul Issues,Z5:AA5,Z6:AA18,Z–AA,Merged block—includes header & player data,,,,,,,,,,,,,,,,,,,,,Bad Foul,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,21,5,11,19,13,13,,17,3,5,2,9,1,,,,,,,98,12.0,,Missed Rotation,21,-10,-22,-38,-26,-26,,-34,-6,-10,-4,-18,-2,,,,,,,-196,,,,Bad Foul,16,31,26,24,30,,10,5,8,3,19,11,,,,,,,183,-1.6%,-183,,,Bad Foul,-16,-31,-26,-24,-30,,-10,-5,-8,-3,-19,-11,,,,,,,-183,-1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,21,0.5,0.8,1.7,2.6,1.0,,1.9,0.6,1.3,0.7,0.8,0.2,,,,,,,12.0,,,,,,,,,,,,,,,,Bad Foul,0.8,1.5,1.2,1.4,1.4,,0.5,0.4,0.7,0.3,0.9,0.6,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,12/16/25,5:00 PM,Santa Barbara,Neutral,13 - Santa Barbara (12/16/25),,,,,,,,,,,Failed Audible,Team Errors,-2,MAN,50,32,21,,,,,,,Missed Rotation,Missed Trap,No Shot Contest,No Shot Contest,,,,,,,,,,,,,,,,,,MAN,Main Header,MAN,A19:B19,A19:B19,A–B,Displays “MAN” defense name,,,,,,,,,,,,,,,,,,,,,Failed Audible,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,21,4,15,12,13,9,,8,2,1,,8,4,,,,,,,76,8.8,,No Shot Contest,21,-8,-30,-24,-26,-18,,-16,-4,-2,,-16,-8,,,,,,,-152,,,,Failed Audible,,2,2,,,,,,,,,1,,,,,,,5,-.1%,-10,,,Failed Audible,,-4,-4,,,,,,,,,-2,,,,,,,-10,-.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,21,0.4,1.2,1.1,2.6,0.7,,0.9,0.4,0.3,,0.7,0.7,,,,,,,8.8,,,,,,,,,,,,,,,,Failed Audible,,0.1,0.1,,,,,,,,,0.1,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,12/19/25,3:00 PM,Cuesta,Home,14 - Cuesta (12/19/25),,,,,,,,,,,Middle Drive,Coverage Errors,-2,MAN,50,32,21,,,,,,,No Shot Contest,No Shot Contest,No Front (High),No Front (High),,,,,,,,,,,,,,,,,,MAN,Subheader,Player,A20,A21:A32,A,Player names,,,,,,,,,,,,,,,,,,,,,Middle Drive,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (High),21,13,12,,,,,11,,1,,,,,,,,,,37,3.6,,No Front (High),21,-13,-12,,,,,-11,,-1,,,,,,,,,,-37,,,,Middle Drive,18,10,10,7,11,,8,,7,,6,3,,,,,,,80,-1.4%,-160,,,Middle Drive,-36,-20,-20,-14,-22,,-16,,-14,,-12,-6,,,,,,,-160,-1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (High),21,1.2,0.9,,,,,1.2,,0.3,,,,,,,,,,3.6,,,,,,,,,,,,,,,,Middle Drive,0.9,0.5,0.5,0.4,0.5,,0.4,,0.6,,0.3,0.2,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,12/30/25,4:00 PM,Taft,Home,15 - Taft (12/30/25),,,,,,,,,,,Missed PNR Trap,Team Errors,-2,MAN,,,,,,,,,,Same Side Help,Same Side Help,No Front (Low),No Front (Low),,,,,,,,,,,,,,,,,,MAN,Subheader,Possessions,B20,B21:B32,B,Possessions logged,,,,,,,,,,,,,,,,,,,,,Missed PNR Trap,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),21,,,10,8,,,,3,,2,,6,,,,,,,29,4.8,,No Front (Low),21,,,-10,-8,,,,-3,,-2,,-6,,,,,,,-29,,,,Missed PNR Trap,6,6,19,12,7,,5,5,2,2,4,9,,,,,,,77,-1.4%,-154,,,Missed PNR Trap,-12,-12,-38,-24,-14,,-10,-10,-4,-4,-8,-18,,,,,,,-154,-1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (Low),21,,,0.9,1.6,,,,0.6,,0.7,,1.0,,,,,,,4.8,,,,,,,,,,,,,,,,Missed PNR Trap,0.3,0.3,0.9,0.7,0.3,,0.2,0.4,0.2,0.2,0.2,0.5,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,01/03/26,3:00 PM,Citrus,Away,16 - Citrus (01/03/26),,,,,,,,,,,Missed REB Duty,Rebounding Errors,-2,MAN,50,32,21,,,,,,,Scored On,Scored On,Scored On,Scored On,,,,,,,,,,,,,,,,,,MAN,Subheader,Positive Total,C20,C21:C32,C,Positive outcomes,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,21,2,11,8,3,7,,4,1,1,,7,2,,,,,,,46,4.7,,Scored On,21,-6,-33,-24,-9,-21,,-12,-3,-3,,-21,-6,,,,,,,-138,,,,Missed REB Duty,8,27,32,17,46,,16,1,2,7,18,21,,,,,,,195,-3.4%,-390,,,Missed REB Duty,-16,-54,-64,-34,-92,,-32,-2,-4,-14,-36,-42,,,,,,,-390,-3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,21,0.2,0.8,0.7,0.6,0.5,,0.4,0.2,0.3,,0.6,0.3,,,,,,,4.7,,,,,,,,,,,,,,,,Missed REB Duty,0.4,1.3,1.5,1.0,2.2,,0.8,0.1,0.2,0.7,0.9,1.1,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,01/09/26,7:00 PM,Orange Coast,Away,17 - Orange Coast (01/09/26),,,,,,,,,,,Missed Rotation,Team Errors,-2,MAN,50,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Negative Total,D20,D21:D32,D,Negative outcomes,,,,,,,,,,,,,,,,,,,,,Missed Rotation,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,32,,,,,,,,,,,,,,,,,,,,,,Block,32,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,69,80,117,65,123,1,78,14,42,27,42,35,,,,,,,693,-12.2%,-1386,,,Missed Rotation,-138,-160,-234,-130,-246,-2,-156,-28,-84,-54,-84,-70,,,,,,,-1386,-12.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,3.6,3.8,5.6,3.8,5.9,0.5,3.7,1.2,3.5,2.7,2.0,1.8,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,01/14/26,7:00 PM,Fullerton,Away,18 - Fullerton (01/14/26),,,,,,,,,,,Missed Trap,Team Errors,-2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,Net Performance,E20,E21:E32,E,Positives minus negatives,,,,,,,,,,,,,,,,,,,,,Missed Trap,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,32,,,,,,,,,,,,,,,,,,,,,,Charge,32,,,,,,,,,,,,,,,,,,,,,,,Missed Trap,10,10,1,,4,,7,,,,4,,,,,,,,36,-.6%,-72,,,Missed Trap,-20,-20,-2,,-8,,-14,,,,-8,,,,,,,,-72,-.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Trap,0.5,0.5,0.0,,0.2,,0.3,,,,0.2,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19,01/16/26,7:00 PM,Saddleback,Home,19 - Saddleback (01/16/26),,,,,,,,,,,No Shot Contest,Coverage Errors,-2,MAN,50,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,PPP,F20,F21:F32,F,Points per possession,,,,,,,,,,,,,,,,,,,,,No Shot Contest,20,8,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,32,,,,,,,,,,,,,,,,,,,,,,Contested Shot,32,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,56,70,65,42,61,,46,7,15,11,31,28,,,,,,,432,-7.6%,-864,,,No Shot Contest,-112,-140,-130,-84,-122,,-92,-14,-30,-22,-62,-56,,,,,,,-864,-7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,2.9,3.3,3.1,2.5,2.9,,2.2,0.6,1.3,1.1,1.5,1.4,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20,01/21/26,7:00 PM,Riverside,Away,20 - Riverside (01/21/26),,,,,,,,,,,No Front (High),Team Errors,-1,,,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN,Subheader,PPP +/- vs. Season Avg,G20,G21:G32,G,Compared to season average,,,,,,,,,,,,,,,,,,,,,No Front (High),,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,32,,,,,,,,,,,,,,,,,,,,,,Audible,32,,,,,,,,,,,,,,,,,,,,,,,No Front (High),13,12,,,,,11,,1,,,,,,,,,,37,-.3%,-37,,,No Front (High),-13,-12,,,,,-11,,-1,,,,,,,,,,-37,-.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Front (High),0.7,0.6,,,,,0.5,,0.1,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
